square_feet,bedrooms,bathrooms,floors,house_age,garage_spaces,distance_city_center,school_rating,crime_rate,property_tax,parks_nearby,shopping_malls_nearby,public_transport_score,lot_size,neighborhood_quality,price
1460,5,3,1,13,2,17.070921926719002,6.300492836566138,4.458496341987177,5549,2,3,3.2243390529072964,2946,9.30158224689258,223600.23030659428
4372,5,2,2,24,2,17.20638525768533,2.252690224821883,3.4657798787577923,5841,0,0,9.139644135140035,4415,7.381780132814646,563619.3529452988
3692,4,2,2,14,1,21.503903910363647,1.0304906318437523,8.359240730278135,5041,4,1,9.185239623386641,2394,8.06740804907998,436197.0805788207
1066,3,1,1,5,1,6.146973214739342,3.2076108427927865,7.584459569998643,6999,4,2,4.908337841681776,3421,1.765292081517435,84727.95338634882
4044,3,3,2,28,2,8.314470892687947,7.341274289200152,3.212551734139125,6024,2,1,1.84947580378152,4919,6.2448860209919,605726.6088090907
3771,1,1,1,14,2,24.51118349168197,1.8927507710159075,1.0301919444220609,1847,2,1,7.539039173705725,8345,8.390279142088117,450161.3637961637
3519,4,3,2,28,0,28.467947888458426,9.17998696347821,0.7180754544546919,1867,3,1,4.032358053823712,4083,8.754313174952493,518423.4107182896
730,5,3,2,3,0,4.942049673652298,2.9352031242056613,0.9427597789893605,1773,4,0,8.154365656930576,9030,1.2576853426027736,163073.1961713156
2285,5,3,2,17,2,15.431837080651327,2.841342528625982,5.8286936119204285,7226,4,0,2.473212555134228,9120,9.452433092996074,337819.38188183407
1369,2,2,2,38,1,7.211111329448019,2.6335716545934598,0.5166217582898969,1542,3,3,5.855636022169288,2844,1.3900485997223175,219113.20190545774
2991,2,2,1,15,2,2.742121882294491,1.1258354167422828,3.369268749640384,5417,4,0,5.572663572863898,2804,6.530668117073649,417833.7783327309
3033,5,3,2,10,0,10.439596805657928,7.946249216304111,7.531997019142294,1785,0,1,1.9028304151265214,3503,7.2404877485378085,420412.2459842143
